"pnr","sex","birth_date","death_date","emigration_date"
"00001",0,1945-09-15,2014-03-23,
"00002",1,1952-07-29,2022-05-16,
"00003",1,1954-07-22,,
"00004",0,1953-05-16,,
"00005",1,1964-12-04,,
"00006",0,1936-06-11,2006-09-10,
"00007",1,1966-10-18,,
"00008",1,1956-05-30,,
"00009",0,1939-05-21,2009-10-01,
"00010",0,1953-09-29,,
"00011",1,1966-07-03,,
"00012",0,1961-08-14,,
"00013",1,1952-12-16,2018-04-02,
"00014",1,1964-03-01,,
"00015",0,1932-09-23,2015-01-10,
"00016",0,1942-09-06,2018-06-16,
"00017",0,1936-10-05,2000-09-09,
"00018",0,1935-01-05,2002-05-04,
"00019",0,1958-03-30,,
"00020",0,1952-07-20,,
"00021",0,1961-05-08,,
"00022",0,1955-01-14,,
"00023",0,1953-07-06,2022-08-14,
"00024",1,1959-05-08,,
"00025",0,1961-08-17,,
"00026",0,1963-06-17,,
"00027",0,1953-09-09,,
"00028",0,1931-03-11,2000-06-07,
"00029",1,1948-04-11,2014-08-29,
"00030",1,1930-04-11,1996-07-01,
"00031",0,1952-08-28,,
"00032",0,1954-12-05,2019-12-10,
"00033",1,1931-10-19,1999-10-25,
"00034",0,1955-05-02,,
"00035",1,1951-11-12,,2015-03-14
"00036",1,1930-08-30,1998-10-24,
"00037",0,1938-02-01,2008-06-25,
"00038",1,1931-12-12,2004-10-03,
"00039",1,1942-09-08,2013-05-21,
"00040",0,1956-03-16,2016-06-28,
"00041",1,1935-05-21,2009-07-25,
"00042",1,1959-07-24,,
"00043",1,1938-04-18,2005-05-21,
"00044",0,1954-02-23,,
"00045",0,1931-02-21,1998-06-02,
"00046",1,1955-03-23,,
"00047",0,1941-03-16,2012-02-06,
"00048",1,1956-08-18,,
"00049",0,1960-02-13,,
"00050",0,1941-03-20,2002-08-13,
"00051",1,1935-06-21,2003-04-19,
"00052",0,1941-12-20,2012-08-11,
"00053",0,1930-01-13,2002-12-05,
"00054",0,1963-05-27,,
"00055",0,1954-01-23,2019-06-25,
"00056",1,1951-05-12,,
"00057",1,1951-12-17,2020-10-25,
"00058",0,1960-10-16,,
"00059",0,1936-01-04,2007-10-14,
"00060",1,1950-04-22,2013-02-16,
"00061",1,1952-11-21,,
"00062",0,1939-06-26,2011-05-20,
"00063",0,1969-01-05,,
"00064",1,1947-05-06,2013-11-08,
"00065",1,1950-05-09,2006-10-09,
"00066",0,1959-05-10,,
"00067",1,1938-08-29,2011-12-11,
"00068",0,1952-10-27,,
"00069",0,1939-05-13,2008-10-30,
"00070",0,1962-02-19,,
"00071",1,1958-10-09,,
"00072",0,1936-10-07,2000-11-20,
"00073",0,1964-12-10,,
"00074",0,1960-02-26,,
"00075",0,1946-04-18,2021-07-14,
"00076",1,1937-05-29,2007-10-29,
"00077",1,1935-10-11,2013-05-26,
"00078",0,1952-08-13,,
"00079",0,1935-04-06,1999-07-31,
"00080",1,1936-11-28,2007-07-25,
"00081",1,1939-06-19,2010-10-18,
"00082",0,1966-03-04,,
"00083",1,1948-01-24,,
"00084",0,1967-05-22,,
"00085",0,1935-05-27,2017-07-02,
"00086",0,1941-04-18,2006-01-13,
"00087",1,1955-11-22,2019-05-25,
"00088",1,1930-12-11,2003-06-14,
"00089",0,1950-10-04,2018-11-10,
"00090",0,1950-01-04,2020-06-07,
"00091",0,1932-10-07,1996-04-12,
"00092",0,1967-01-18,,
"00093",0,1969-10-18,,
"00094",0,1949-04-20,2017-01-27,
"00095",1,1958-09-12,,
"00096",0,1933-03-25,1999-09-06,
"00097",1,1949-07-28,,
"00098",1,1930-10-25,2001-05-23,
"00099",0,1950-07-28,2014-01-22,
"00100",0,1945-04-08,2012-08-17,
"00101",1,1931-02-17,2003-12-03,
"00102",1,1954-09-06,,
"00103",0,1942-04-13,2022-07-15,
"00104",0,1964-03-28,,
"00105",1,1963-07-11,,
"00106",1,1962-04-14,,
"00107",0,1934-03-23,2001-12-11,
"00108",1,1932-09-05,2009-01-23,
"00109",1,1944-03-24,2006-10-18,
"00110",0,1949-12-06,2017-11-22,
"00111",0,1936-02-17,2004-08-24,
"00112",0,1959-09-01,,
"00113",1,1958-11-28,,
"00114",0,1951-03-20,2018-12-14,
"00115",1,1961-12-05,,
"00116",1,1937-04-24,2001-11-09,
"00117",1,1967-03-10,,
"00118",1,1950-11-12,,
"00119",1,1931-08-27,2000-09-16,
"00120",0,1951-05-19,2020-07-15,
"00121",1,1942-09-16,2015-02-09,
"00122",0,1939-09-25,2012-03-23,
"00123",0,1939-12-16,2011-02-04,
"00124",1,1961-11-22,,
"00125",1,1967-07-23,,
"00126",0,1939-12-29,2010-02-15,
"00127",1,1936-04-21,2001-07-05,
"00128",1,1933-05-11,1999-01-20,
"00129",0,1934-09-13,2007-07-21,
"00130",1,1944-01-29,2015-02-01,
"00131",0,1955-04-30,,
"00132",0,1937-10-29,2012-09-17,
"00133",0,1953-12-07,,
"00134",1,1948-02-14,,
"00135",0,1933-02-26,2002-04-04,
"00136",0,1951-04-29,2019-11-20,
"00137",1,1933-12-19,1999-11-30,
"00138",0,1962-07-18,,
"00139",0,1962-07-19,,
"00140",1,1958-10-18,2021-05-11,
"00141",0,1953-06-01,,
"00142",0,1945-02-11,2017-02-08,
"00143",1,1953-12-02,2017-01-21,
"00144",1,1932-05-09,2004-12-08,
"00145",0,1962-06-19,,
"00146",0,1962-03-07,,
"00147",0,1964-04-01,,
"00148",0,1964-06-12,,
"00149",0,1963-10-22,,
"00150",1,1946-07-13,2019-06-02,
"00151",0,1942-02-02,2013-04-27,
"00152",1,1964-10-22,,
"00153",0,1945-08-28,,
"00154",0,1964-12-12,,
"00155",0,1951-03-29,2018-11-22,
"00156",0,1943-09-05,2013-10-24,
"00157",0,1942-09-15,2019-03-26,
"00158",1,1959-07-29,,
"00159",0,1961-11-06,,
